commodity_name,market_name,arrival_date,modal_price
Cucumbar(Kheera),Bangarpet,22-05-2019,1.8
Cucumbar(Kheera),Channapatana,22-05-2019,10
Cucumbar(Kheera),Honnali,22-05-2019,12
Cucumbar(Kheera),Kolar,22-05-2019,4
Cucumbar(Kheera),Ramanagara,22-05-2019,24
Dry+Chillies,Bangalore,22-05-2019,98
Dry+Chillies,Hubli (Amaragol),22-05-2019,31
Dry+Chillies,Sindhanur,22-05-2019,90
Elephant+Yam+(Suran),Arasikere,22-05-2019,19
Garlic,Bangalore,22-05-2019,64
Garlic,Mysore (Bandipalya),22-05-2019,65
Ginger(Green),Bangalore,22-05-2019,71
Ginger(Green),Hirekerur,22-05-2019,25
Ginger(Green),Ramanagara,22-05-2019,125
Grapes,Kolar,22-05-2019,15.83
Green+Chilli,Chikkamagalore,22-05-2019,28.57
Green+Chilli,Davangere,22-05-2019,32.5
Green+Chilli,Kolar,22-05-2019,45
Green+Chilli,Ramanagara,22-05-2019,45
Green+Peas,Bangalore,22-05-2019,77
Ground+Nut+Seed,Bangalore,22-05-2019,95
Ground+Nut+Seed,Hiriyur,22-05-2019,87.53
Groundnut,Bagalakot,22-05-2019,52.82
Groundnut,Bangalore,22-05-2019,51.5
Groundnut,Bellary,22-05-2019,58.62
Groundnut,Chitradurga,22-05-2019,54.38
Groundnut,Davangere,22-05-2019,46.53
Groundnut,Gadag,22-05-2019,39.58
Groundnut,Hubli (Amaragol),22-05-2019,42.99
Groundnut,Laxmeshwar,22-05-2019,48.11
Groundnut,Mundaragi,22-05-2019,58.15
Groundnut,Raichur,22-05-2019,55.89
Groundnut,Savanur,22-05-2019,57
Gur(Jaggery),Bangalore,22-05-2019,43
Gur(Jaggery),Bangarpet,22-05-2019,32
Gur(Jaggery),Basava Kalayana,22-05-2019,28
Gur(Jaggery),Mandya,22-05-2019,34
Gur(Jaggery),Mhalingapur,22-05-2019,31.25
Jowar(Sorghum),Bangalore,22-05-2019,25.5
Jowar(Sorghum),Basava Kalayana,22-05-2019,32
Jowar(Sorghum),Bellary,22-05-2019,23.35
Jowar(Sorghum),Bidar,22-05-2019,35
Jowar(Sorghum),Dharwar,22-05-2019,27
Jowar(Sorghum),Gadag,22-05-2019,24.15
Jowar(Sorghum),Manvi,22-05-2019,10.5
Jowar(Sorghum),Sindhanur,22-05-2019,15.5
Knool+Khol,Chikkamagalore,22-05-2019,12.06
Knool+Khol,Kolar,22-05-2019,13
Kulthi(Horse+Gram),Bangalore,22-05-2019,38
Maize,Bagalakot,22-05-2019,22
Maize,Bangalore,22-05-2019,26
Maize,Bellary,22-05-2019,22.78
Maize,Chitradurga,22-05-2019,21.39
Maize,Davangere,22-05-2019,21.09
Maize,Dharwar,22-05-2019,22.25
Maize,Gadag,22-05-2019,21.34
Maize,Hanagal,22-05-2019,20
Maize,Hirekerur,22-05-2019,20.1
Maize,Honnali,22-05-2019,19.8
Maize,Kudchi,22-05-2019,28
Maize,Mundaragi,22-05-2019,23.23
Maize,Shikaripura,22-05-2019,20
Maize,Sorabha,22-05-2019,20
Mango,Kolar,22-05-2019,15
Mango,Srinivasapur,22-05-2019,12.69
Mango+(Raw-Ripe),Tarikere,22-05-2019,4
Mustard,Bangalore,22-05-2019,51
Onion,Bagepalli,22-05-2019,11.7
Onion,Bangalore,22-05-2019,9
Onion,Chikkamagalore,22-05-2019,11.53
Onion,Davangere,22-05-2019,9
Onion,Hubli (Amaragol),22-05-2019,7.5
Onion,Kolar,22-05-2019,15.38
Onion,Mysore (Bandipalya),22-05-2019,12
Onion,Raichur,22-05-2019,4.49
Paddy(Dhan)(Common),Bangarpet,22-05-2019,16.8
Paddy(Dhan)(Common),Bhadravathi,22-05-2019,16
Paddy(Dhan)(Common),Channagiri,22-05-2019,17
Paddy(Dhan)(Common),Davangere,22-05-2019,18.7
Paddy(Dhan)(Common),Dharwar,22-05-2019,17
Paddy(Dhan)(Common),Haliyala,22-05-2019,17.5
Paddy(Dhan)(Common),Hanagal,22-05-2019,17
Paddy(Dhan)(Common),Harihara,22-05-2019,17.5
Paddy(Dhan)(Common),Kundapura,22-05-2019,19
Paddy(Dhan)(Common),Mysore (Bandipalya),22-05-2019,15.78
Paddy(Dhan)(Common),Nanjangud,22-05-2019,17.5
Paddy(Dhan)(Common),Raichur,22-05-2019,18.88
Paddy(Dhan)(Common),Shikaripura,22-05-2019,15
Papaya,Ramanagara,22-05-2019,19
Potato,Bagepalli,22-05-2019,12.5
Potato,Bangalore,22-05-2019,12
Potato,Chikkamagalore,22-05-2019,13.27
Potato,Hubli (Amaragol),22-05-2019,12
Potato,Mysore (Bandipalya),22-05-2019,12.5
Raddish,Chikkamagalore,22-05-2019,10
Raddish,Kolar,22-05-2019,9
Raddish,Ramanagara,22-05-2019,22
Ragi+(Finger+Millet),Arasikere,22-05-2019,22.9
Ragi+(Finger+Millet),Bangalore,22-05-2019,31.5
Ragi+(Finger+Millet),Kadur,22-05-2019,25
Ragi+(Finger+Millet),Mandya,22-05-2019,24
Ragi+(Finger+Millet),Mysore (Bandipalya),22-05-2019,23.26
Ragi+(Finger+Millet),Piriya Pattana,22-05-2019,23
Rice,Bangalore,22-05-2019,45.5
Rice,Bangarpet,22-05-2019,29.5
Rice,Bidar,22-05-2019,45
Rice,Gangavathi,22-05-2019,18.2
Rice,Kolar,22-05-2019,58.68
Rice,Mysore (Bandipalya),22-05-2019,51
Rice,Nippani,22-05-2019,35
Rice,Shikaripura,22-05-2019,15
Rice,Shimoga,22-05-2019,27.5
Rice,Sindhanur,22-05-2019,43
Ridgeguard(Tori),Chikkamagalore,22-05-2019,19.56
Ridgeguard(Tori),Kolar,22-05-2019,45
Safflower,Gadag,22-05-2019,43.1
Soyabean,Bidar,22-05-2019,36.2
Soyabean,Dharwar,22-05-2019,35.7
Soyabean,Hanagal,22-05-2019,35.97
Suvarna+Gadde,Somvarpet,22-05-2019,10
Tamarind+Fruit,Bagepalli,22-05-2019,95.5
Tamarind+Fruit,Bangalore,22-05-2019,80
Tamarind+Fruit,Shimoga,22-05-2019,95
Tender+Coconut,K.R. Pet,22-05-2019,80
Tender+Coconut,Mandya,22-05-2019,100
Tomato,Bagepalli,22-05-2019,38.4
Tomato,Bangarpet,22-05-2019,17.5
Tomato,Channapatana,22-05-2019,20
Tomato,Chikkamagalore,22-05-2019,24.07
Tomato,Davangere,22-05-2019,38.25
Tomato,Kolar,22-05-2019,18.33
Tomato,Ramanagara,22-05-2019,37.5
Tomato,Srinivasapur,22-05-2019,23.73
Turmeric,Bangalore,22-05-2019,112.5
Turmeric,Nippani,22-05-2019,47
Wheat,Bangalore,22-05-2019,29
Wheat,Basava Kalayana,22-05-2019,21
Wheat,Bidar,22-05-2019,26
Wheat,Gadag,22-05-2019,24.54
Wheat,Mysore (Bandipalya),22-05-2019,27.5
Wheat,Shimoga,22-05-2019,29
Alasande+Gram,Dharwar,23-05-2019,48
Alasande+Gram,Laxmeshwar,24-05-2019,40.96
Brinjal,Honnali,23-05-2019,5.8
Brinjal,Ramanagara,23-05-2019,22
Beans,Kolar,23-05-2019,73
Cabbage,Honnali,23-05-2019,12.5
Cabbage,Ramanagara,23-05-2019,22
Beans,Ramanagara,23-05-2019,65
Chilly+Capsicum,Ramanagara,23-05-2019,44
Maize,Haliyala,23-05-2019,18
Maize,Honnali,23-05-2019,19.8
Coconut,Kanakapura,23-05-2019,140
Mango,Madhugiri,23-05-2019,10
Black+pepper,Somvarpet,23-05-2019,325
Corriander+seed,Bangalore,23-05-2019,91
Corriander+seed,Gowribidanoor,23-05-2019,75
Cotton,Manvi,23-05-2019,60
Cucumbar(Kheera),Honnali,23-05-2019,12
Paddy(Dhan)(Common),Haliyala,23-05-2019,18
Paddy(Dhan)(Common),Harihara,23-05-2019,17.75
Paddy(Dhan)(Common),Lingasugur,23-05-2019,27.5
Papaya,Ramanagara,23-05-2019,20
Drumstick,Ramanagara,23-05-2019,32
Dry+Chillies,Bangalore,23-05-2019,141.5
Tamarind+Fruit,Chintamani,23-05-2019,40
Tomato,Chintamani,23-05-2019,21.33
Tomato,Ramanagara,23-05-2019,40
Jowar(Sorghum),Manvi,23-05-2019,13.5
Tender+Coconut,Hunsur,23-05-2019,0.12
Soyabean,Bangalore,23-05-2019,46
Kulthi(Horse+Gram),Chintamani,23-05-2019,36
Ginger(Green),Hunsur,23-05-2019,30
Alasande+Gram,Laxmeshwar,27-05-2019,40.7
Rice,Chintamani,23-05-2019,44
Rice,Gowribidanoor,23-05-2019,20
Black+pepper,Chikkamagalore,23-05-2019,226.62
Gur(Jaggery),Kudchi,23-05-2019,31
Soyabean,Hubli (Amaragol),24-05-2019,31.01
Capsicum,Kolar,23-05-2019,23
Carrot,Kolar,23-05-2019,27
Cauliflower,Kolar,23-05-2019,17
Gur(Jaggery),Kudchi,26-05-2024,25
Arhar+Dal(Tur+Dal),Shimoga,24-05-2019,90
Chilly+Capsicum,Kolar,23-05-2019,37
Coconut,Kolar,23-05-2019,100
Banana,Channapatana,24-05-2019,9
Banana,Malur,24-05-2019,20
Cucumbar(Kheera),Channapatana,23-05-2019,9.5
Cucumbar(Kheera),Kolar,23-05-2019,3.5
Cabbage,Kolar,24-05-2019,11
Cabbage,Ramanagara,24-05-2019,21
Capsicum,Kolar,24-05-2019,23
Carrot,Kolar,24-05-2019,20
Green+Chilli,Ramanagara,23-05-2019,48
Coconut,Arasikere,23-05-2019,128.9
Coconut,Kadur,23-05-2019,150
Coconut,Kumta,23-05-2019,172.6
Coconut,Kundapura,23-05-2019,124.11
Ginger(Dry),Shikaripura,23-05-2019,110
Ginger(Green),Kolar,23-05-2019,66.67
Beans,Malur,24-05-2019,66.66
Grapes,Kolar,23-05-2019,22.35
Cotton,Annigeri,23-05-2019,62.75
Cotton,Bijapur,23-05-2019,61.22
Green+Chilli,Kolar,23-05-2019,53
Paddy(Dhan)(Common),Haliyala,24-05-2019,16.5
Paddy(Dhan)(Common),Hanagal,24-05-2019,14.4
Paddy(Dhan)(Common),Harihara,24-05-2019,18
Paddy(Dhan)(Common),Shorapur,24-05-2019,23.13
Paddy(Dhan)(Common),Somvarpet,24-05-2019,17
Suvarna+Gadde,Ramanagara,27-05-2019,23
Barley+(Jau),Mhalingapur,24-05-2019,33.7
Groundnut,Mundaragi,23-05-2019,54.76
Groundnut,Savanur,23-05-2019,51.34
Gur(Jaggery),Basava Kalayana,23-05-2019,28
Beans,Gowribidanoor,24-05-2019,15.6
Black+pepper,Gonikappal,24-05-2019,309.99
Jowar(Sorghum),Basava Kalayana,23-05-2019,33
Jowar(Sorghum),Gadag,23-05-2019,23.28
Jowar(Sorghum),Harappana Halli,23-05-2019,18
Dry+Chillies,Annigeri,23-05-2019,100
Dry+Chillies,Byadagi,23-05-2019,94.19
Elephant+Yam+(Suran),Arasikere,23-05-2019,17.5
Suvarna+Gadde,Ramanagara,24-05-2019,22
Tamarind+Fruit,Madhugiri,24-05-2019,40
Knool+Khol,Kolar,23-05-2019,12
Snakeguard,Ramanagara,24-05-2019,16
Raddish,Gowribidanoor,26-05-2024,15
Maize,Haveri,23-05-2019,21
Maize,Mundaragi,23-05-2019,23.99
Maize,Shikaripura,23-05-2019,20
Mango,Kolar,23-05-2019,20
Mango,Srinivasapur,23-05-2019,11.83
Green+Chilli,Kolar,26-05-2019,47
Beetroot,Honnali,26-05-2024,8.5
Beetroot,Ramanagara,26-05-2024,26
Green+Chilli,Chikkamagalore,23-05-2019,27.77
Green+Chilli,Davangere,23-05-2019,37.5
Ragi+(Finger+Millet),Davangere,24-05-2019,23
Ragi+(Finger+Millet),Tarikere,24-05-2019,30
Onion,Kolar,23-05-2019,14.44
Rice,Bangarpet,24-05-2019,28.5
Rice,Bhadravathi,24-05-2019,26.93
Rice,Gangavathi,24-05-2019,20.5
Rice,Gulbarga,24-05-2019,41.05
Rice,Haveri,24-05-2019,17.5
Rice,Gulbarga,26-05-2024,41.1
Black+pepper,Somvarpet,26-05-2024,359
Gur(Jaggery),Bijapur,23-05-2019,30
Gur(Jaggery),Mhalingapur,23-05-2019,30.76
Paddy(Dhan)(Common),Moodigere,23-05-2019,20
Paddy(Dhan)(Common),Raichur,23-05-2019,18.89
Paddy(Dhan)(Common),Shorapur,23-05-2019,21.85
Paddy(Dhan)(Common),Srirangapattana,23-05-2019,16.5
Raddish,Kolar,23-05-2019,11
Ragi+(Finger+Millet),Harappana Halli,23-05-2019,23.02
Kulthi(Horse+Gram),Kadur,23-05-2019,39
Rice,Kolar,23-05-2019,53.79
Ridgeguard(Tori),Kolar,23-05-2019,37
Lime,Bijapur,23-05-2019,11
Tender+Coconut,Mandya,23-05-2019,120
Maize,Davangere,23-05-2019,21.1
Maize,Dharwar,23-05-2019,21.18
Maize,Hanagal,23-05-2019,21
Maize,Holalkere,23-05-2019,19.7
Maize,Shimoga,23-05-2019,23.1
Raddish,Kolar,26-05-2019,8
Tomato,Channapatana,23-05-2019,25
Tomato,Kolar,23-05-2019,19.33
Tomato,Srinivasapur,23-05-2019,24
Cabbage,Chikkamagalore,24-05-2019,8
Ridgeguard(Tori),Gowribidanoor,24-05-2019,5.5
Methi(Leaves),Shimoga,23-05-2019,67.5
Cucumbar(Kheera),Kolar,24-05-2019,4
Cucumbar(Kheera),Ramanagara,24-05-2019,22
Brinjal,Honnali,26-05-2024,4
Brinjal,Ramanagara,26-05-2024,24
Dry+Chillies,Sindhanur,24-05-2019,38
Dry+Grapes,Bangalore,24-05-2019,250
Onion,Bijapur,23-05-2019,7
Onion,Davangere,23-05-2019,8.5
Onion,Hubli (Amaragol),23-05-2019,7.7
Kulthi(Horse+Gram),Laxmeshwar,24-05-2019,30.48
Safflower,Gadag,24-05-2019,42.6
Safflower,Gulbarga,24-05-2019,40.75
Cabbage,Honnali,26-05-2024,11
She+Buffalo,Nippani,24-05-2019,400
Sheep,Nippani,24-05-2019,60
Cabbage,Ramanagara,26-05-2024,21
Banana+-+Green,Kundapura,26-05-2024,15.5
Brinjal,Gowribidanoor,24-05-2019,4.5
Carrot,Chikkamagalore,24-05-2019,35
Paddy(Dhan)(Common),Bhadravathi,23-05-2019,15
Paddy(Dhan)(Common),Chikkamagalore,23-05-2019,40
Paddy(Dhan)(Common),Davangere,23-05-2019,19
Paddy(Dhan)(Common),Dharwar,23-05-2019,16
Paddy(Dhan)(Common),Hanagal,23-05-2019,16
Paddy(Dhan)(Common),Mysore (Bandipalya),23-05-2019,16.53
Paddy(Dhan)(Common),Udupi,23-05-2019,17.5
Soyabean,Dharwar,24-05-2019,37.34
Soyabean,Haveri,24-05-2019,36
Cauliflower,Chikkamagalore,24-05-2019,10
Wheat,Basava Kalayana,24-05-2019,21
Rice,Gundlupet,24-05-2019,26.5
Sunflower,Gulbarga,24-05-2019,36.25
Tomato,Chintamani,24-05-2019,22.66
Tomato,Kolar,24-05-2019,20.67
Tomato,Mulabagilu,24-05-2019,23.35
Tomato,Ramanagara,24-05-2019,38
Coconut,Sira,24-05-2019,76.36
Wheat,Harappana Halli,24-05-2019,16.81
Cotton,Bijapur,24-05-2019,63.49
Maize,Hanagal,24-05-2019,21
Maize,Holalkere,24-05-2019,22.14
Maize,Honnali,24-05-2019,20
Maize,Kudchi,24-05-2019,18
Ragi+(Finger+Millet),Arasikere,23-05-2019,22.8
Ragi+(Finger+Millet),Bhadravathi,23-05-2019,22.88
Ragi+(Finger+Millet),Davangere,23-05-2019,22.5
Ragi+(Finger+Millet),Holalkere,23-05-2019,18.52
Ragi+(Finger+Millet),Kadur,23-05-2019,22
Ragi+(Finger+Millet),Shimoga,23-05-2019,29.5
Mango,Kolar,24-05-2019,22.59
Ragi+(Finger+Millet),Harappana Halli,24-05-2019,22.49
Mango,Mulabagilu,24-05-2019,9
Rice,Bhadravathi,23-05-2019,17.78
Rice,Honnali,24-05-2019,18.9
Antawala,Chikkamagalore,28-05-2019,17
Beans,Kolar,24-05-2019,70
Beans,Ramanagara,24-05-2019,70
Tomato,Bangarpet,24-05-2019,25
Beetroot,Kolar,24-05-2019,17
Cucumbar(Kheera),Channapatana,24-05-2019,10
Cucumbar(Kheera),Chikkamagalore,24-05-2019,6.25
Tomato,Gowribidanoor,24-05-2019,7.5
Ridgeguard(Tori),Honnali,24-05-2019,8.5
Ridgeguard(Tori),Kolar,24-05-2019,35
Ridgeguard(Tori),Ramanagara,24-05-2019,42
Bitter+gourd,Ramanagara,24-05-2019,42
Ridgeguard(Tori),Chikkamagalore,23-05-2019,20
Cowpea(Veg),Honnali,26-05-2024,19
Beans,Chikkamagalore,26-05-2024,50
Beetroot,Chikkamagalore,26-05-2024,10
Brinjal,Honnali,24-05-2019,3
Brinjal,Kolar,24-05-2019,13
Brinjal,Ramanagara,24-05-2019,18
Dry+Chillies,Byadagi,24-05-2019,96.89
Dry+Chillies,Hubli (Amaragol),24-05-2019,35
Tomato,Chikkamagalore,23-05-2019,22.22
Tomato,Davangere,23-05-2019,37
Tomato,Gundlupet,23-05-2019,30
Jowar(Sorghum),Manvi,24-05-2019,10
Jowar(Sorghum),Sindhanur,24-05-2019,19.5
Coconut,Honnali,24-05-2019,80
Turmeric,Gundlupet,23-05-2019,72.1
Ginger(Green),Nanjangud,26-05-2024,23
Coconut,Bhadravathi,24-05-2019,158.7
Coconut,Davangere,24-05-2019,100
Coconut,Tarikere,24-05-2019,100
Grapes,Kolar,24-05-2019,20
Wheat,Dharwar,24-05-2019,21
Wheat,Gadag,24-05-2019,22.79
Wheat,Shimoga,24-05-2019,29.5
Copra,Arasikere,24-05-2019,148.64
Green+Chilli,Ramanagara,24-05-2019,55
Black+pepper,Chikkamagalore,26-05-2024,277.77
Cotton,Davangere,24-05-2019,56.14
Cotton,Gadag,24-05-2019,54.33
Cucumbar(Kheera),Bangarpet,24-05-2019,4
Maize,Mundaragi,24-05-2019,24.11
Maize,Santhesargur,24-05-2019,15
Mango,Malur,24-05-2019,38.46
Mango,Srinivasapur,24-05-2019,12.13
Beans,Kolar,27-05-2019,90
Beetroot,Honnali,27-05-2019,11.45
Beetroot,Kolar,27-05-2019,17
Sheep,Hiriyur,26-05-2024,50
Snakeguard,Ramanagara,26-05-2024,14
Tomato,Kolar,26-05-2024,20.33
Tomato,Ramanagara,26-05-2024,33
Elephant+Yam+(Suran),Turvekere,24-05-2019,11.4
Wheat,Gadag,23-05-2019,20.01
Wheat,Nargunda,24-05-2019,22.5
Goat,Nippani,24-05-2019,50
Potato,Chikkamagalore,24-05-2019,13.88
Potato,Hubli (Amaragol),24-05-2019,12
Potato,Malur,24-05-2019,15
Cabbage,Malur,26-05-2024,5
Groundnut,Davangere,24-05-2019,47
Groundnut,Gadag,24-05-2019,39.5
Groundnut,Koppal,24-05-2019,57.69
Groundnut,Kottur,24-05-2019,57.25
Gur(Jaggery),Bangarpet,24-05-2019,32
Gur(Jaggery),Gulbarga,24-05-2019,27.26
Gur(Jaggery),Mandya,24-05-2019,34
Gur(Jaggery),Mhalingapur,24-05-2019,30.72
Gur(Jaggery),Shimoga,24-05-2019,38.5
Arhar+Dal(Tur+Dal),Mysore (Bandipalya),28-05-2019,87
Chilly+Capsicum,Kolar,24-05-2019,43
Chilly+Capsicum,Ramanagara,24-05-2019,42
Jowar(Sorghum),Gadag,24-05-2019,23.91
Jowar(Sorghum),Gangavathi,24-05-2019,18.75
Jowar(Sorghum),Gulbarga,24-05-2019,35.85
Alasande+Gram,Sira,13-06-2019,50
Tomato,Channapatana,24-05-2019,25
Tomato,Chikkamagalore,24-05-2019,24.55
Tomato,Srinivasapur,24-05-2019,26
Maize,Davangere,24-05-2019,21.5
Maize,Dharwar,24-05-2019,21.55
Maize,Gadag,24-05-2019,22.37
Maize,Gulbarga,24-05-2019,20.85
Maize,Mhalingapur,24-05-2019,21.5
Groundnut,Bagalakot,24-05-2019,52.79
Gur(Jaggery),Gundlupet,24-05-2019,30
Cauliflower,Chikkamagalore,26-05-2024,11.05
Kulthi(Horse+Gram),Gundlupet,24-05-2019,42
Coconut,Kadur,26-05-2024,100
Coconut,Kundapura,26-05-2024,155
Coconut,Malur,26-05-2024,100
Coconut,Udupi,26-05-2024,150
Beans,Chikkamagalore,27-05-2019,54.16
Chilly+Capsicum,Kolar,27-05-2019,45
Coconut,Chintamani,27-05-2019,120
Coconut,Honnali,27-05-2019,90
Coconut,Santhesargur,27-05-2019,80
Beetroot,Chikkamagalore,27-05-2019,12.12
Maize,Bagalakot,24-05-2019,22.06
Maize,Nargunda,24-05-2019,22.8
Cucumbar(Kheera),Kolar,26-05-2019,5.5
Jowar(Sorghum),Basava Kalayana,24-05-2019,31
Jowar(Sorghum),Bellary,24-05-2019,21.78
Jowar(Sorghum),Laxmeshwar,24-05-2019,20.7
Jowar(Sorghum),Raichur,24-05-2019,21
Cotton,Dharwar,26-05-2024,61.86
Rice,Shikaripura,24-05-2019,27
Paddy(Dhan)(Common),Bangarpet,24-05-2019,17.6
Paddy(Dhan)(Common),Bhadravathi,24-05-2019,23.09
Ridgeguard(Tori),Chikkamagalore,24-05-2019,20
Paddy(Dhan)(Common),Davangere,24-05-2019,18.7
Paddy(Dhan)(Common),Sorabha,24-05-2019,17
Paddy(Dhan)(Common),Udupi,24-05-2019,18.1
Maize,Hanagal,26-05-2024,22.5
Suvarna+Gadde,Ramanagara,26-05-2024,21
Dry+Chillies,Hubli (Amaragol),26-05-2024,45
Elephant+Yam+(Suran),Turvekere,26-05-2024,12
Cucumbar(Kheera),Ramanagara,26-05-2024,27
Jowar(Sorghum),Manvi,27-05-2019,22.98
Drumstick,Ramanagara,26-05-2024,30
Dry+Chillies,Sindhanur,26-05-2024,39
Onion,Gundlupet,24-05-2019,16
Tomato,Ramanagara,29-05-2019,42.5
Black+pepper,Chikkamagalore,27-05-2019,230
Goat,Hiriyur,26-05-2024,48
Ragi+(Finger+Millet),Piriya Pattana,26-05-2024,22
Green+Chilli,Ramanagara,26-05-2024,51
Coconut,Kolar,26-05-2019,110
Ridgeguard(Tori),Ramanagara,26-05-2024,41
Tomato,Chintamani,27-05-2019,22.66
Tomato,Kolar,27-05-2019,20
Methi+Seeds,Bangalore,27-05-2019,60
Moath+Dal,Bangalore,27-05-2019,58
Green+Chilli,Chikkamagalore,26-05-2024,29.82
Banana,Channapatana,29-05-2019,36
Paddy(Dhan)(Common),Chikkamagalore,24-05-2019,34
Paddy(Dhan)(Common),Raichur,24-05-2019,17.69
Paddy(Dhan)(Common),Santhesargur,24-05-2019,15.5
Cabbage,Honnali,28-05-2019,12.39
Cabbage,Ramanagara,28-05-2019,19
Brinjal,Honnali,27-05-2019,6
Brinjal,Ramanagara,27-05-2019,21
Ginger(Green),Santhesargur,24-05-2019,25
Onion,Bangalore,27-05-2019,10.5
Safflower,Bidar,26-05-2024,43
Safflower,Gadag,26-05-2024,43.41
Safflower,Gulbarga,26-05-2024,40.75
Capsicum,Kolar,28-05-2019,30
Raddish,Ramanagara,27-05-2019,19
Carrot,Kolar,28-05-2019,30
Onion,Chikkamagalore,24-05-2019,11.9
Onion,Hubli (Amaragol),24-05-2019,7.7
Black+pepper,Kadur,28-05-2019,140
Groundnut,Bagalakot,26-05-2024,54.75
Groundnut,Davangere,26-05-2024,46.52
Groundnut,Dharwar,26-05-2024,15.41
Groundnut,Hubli (Amaragol),26-05-2024,42.35
Groundnut,Rona,26-05-2024,55.89
Mango,Kolar,26-05-2019,21.57
Gur(Jaggery),Belgaum,26-05-2024,28.5
Gur(Jaggery),Mandya,26-05-2024,33.5
Goat,Ramdurga,26-05-2019,50
Cabbage,Chikkamagalore,27-05-2019,7.35
Cauliflower,Kolar,26-05-2019,21
Chapparad+Avare,Kolar,26-05-2019,30
Groundnut,Ramdurga,26-05-2019,55.68
Gur(Jaggery),Mhalingapur,26-05-2019,30.62
Jowar(Sorghum),Ramdurga,26-05-2019,28
Drumstick,Kolar,28-05-2019,17
Green+Chilli,Ramanagara,27-05-2019,50
Jowar(Sorghum),Belgaum,26-05-2024,28
Jowar(Sorghum),Dharwar,26-05-2024,21.21
Jowar(Sorghum),Gangavathi,26-05-2024,22.3
Jowar(Sorghum),Hubli (Amaragol),26-05-2024,23.26
Carrot,Chikkamagalore,27-05-2019,20
Cashewnuts,Kundapura,27-05-2019,90
Paddy(Dhan)(Common),Channagiri,26-05-2024,18
Paddy(Dhan)(Common),Hanagal,26-05-2024,15.5
Paddy(Dhan)(Common),Harihara,26-05-2024,17
Paddy(Dhan)(Common),Lingasugur,26-05-2024,27.5
Papaya,Ramanagara,26-05-2024,18
Cauliflower,Chikkamagalore,27-05-2019,10.47
Carrot,Kolar,26-05-2019,33
Wheat,Bidar,26-05-2024,26
Wheat,Gadag,26-05-2024,21.86
Kulthi(Horse+Gram),Kadur,26-05-2024,38
Sheep,Ramdurga,26-05-2019,55
Cabbage,Chikkamagalore,28-05-2019,7.81
Chili+Red,Shimoga,27-05-2019,120
Wheat,Ramdurga,26-05-2019,26
Green+Chilli,Chikkamagalore,24-05-2019,27.5
Cabbage,Honnali,29-05-2019,12.2
Cabbage,Kolar,29-05-2019,13
Coconut,Gubbi,27-05-2019,105
Coconut,Kundapura,27-05-2019,127.8
Coconut,Tumkur,27-05-2019,115
Cabbage,Gowribidanoor,26-05-2024,2.8
Black+pepper,Chikkamagalore,28-05-2019,239.42
Black+pepper,Yellapur,28-05-2019,318.19
Soyabean,Bidar,26-05-2024,36.8
Copra,Gubbi,27-05-2019,120
Carrot,Gowribidanoor,26-05-2024,9
Corriander+seed,Bhadravathi,27-05-2019,92.42
Sunflower,Gulbarga,26-05-2024,35.75
Sunflower,Mundaragi,26-05-2024,36.8
Tamarind+Fruit,Shimoga,26-05-2024,87.5
Tamarind+Fruit,Tumkur,26-05-2024,72
