state_name,district,year,commodity_name,area
Karnataka,BIJAPUR,2001-02,Arhar/Tur,11863.0
Karnataka,BIJAPUR,2002-03,Arhar/Tur,18001.0
Karnataka,BIJAPUR,2003-04,Arhar/Tur,21604.0
Karnataka,CHAMARAJANAGAR,2001-02,Arhar/Tur,2323.0
Karnataka,CHAMARAJANAGAR,2002-03,Arhar/Tur,2068.0
Karnataka,CHAMARAJANAGAR,2003-04,Arhar/Tur,1459.0
Karnataka,CHIKMAGALUR,2001-02,Arhar/Tur,491.0
Karnataka,CHIKMAGALUR,2002-03,Arhar/Tur,919.0
Karnataka,CHIKMAGALUR,2003-04,Arhar/Tur,487.0
Karnataka,CHITRADURGA,2001-02,Arhar/Tur,7248.0
Karnataka,CHITRADURGA,2002-03,Arhar/Tur,7458.0
Karnataka,CHITRADURGA,2003-04,Arhar/Tur,6743.0
Karnataka,DAVANGERE,2001-02,Arhar/Tur,7871.0
Karnataka,DAVANGERE,2002-03,Arhar/Tur,6343.0
Karnataka,DAVANGERE,2003-04,Arhar/Tur,5384.0
Karnataka,DHARWAD,2001-02,Arhar/Tur,2247.0
Karnataka,DHARWAD,2002-03,Arhar/Tur,2551.0
Karnataka,DHARWAD,2003-04,Arhar/Tur,3004.0
Karnataka,GADAG,2001-02,Arhar/Tur,1521.0
Karnataka,GADAG,2002-03,Arhar/Tur,2480.0
Karnataka,GADAG,2003-04,Arhar/Tur,1338.0
Karnataka,GULBARGA,2001-02,Arhar/Tur,318250.0
Karnataka,GULBARGA,2002-03,Arhar/Tur,335663.0
Karnataka,GULBARGA,2003-04,Arhar/Tur,349894.0
Karnataka,HASSAN,2001-02,Arhar/Tur,2478.0
Karnataka,HASSAN,2002-03,Arhar/Tur,2186.0
Karnataka,HASSAN,2003-04,Arhar/Tur,2155.0
Karnataka,HAVERI,2001-02,Arhar/Tur,6277.0
Karnataka,HAVERI,2002-03,Arhar/Tur,4803.0
Karnataka,HAVERI,2003-04,Arhar/Tur,2946.0
Karnataka,KOLAR,2001-02,Arhar/Tur,4702.0
Karnataka,KOLAR,2002-03,Arhar/Tur,2883.0
Karnataka,KOLAR,2003-04,Arhar/Tur,6078.0
Karnataka,KOPPAL,2001-02,Arhar/Tur,7572.0
Karnataka,KOPPAL,2002-03,Arhar/Tur,11252.0
Karnataka,KOPPAL,2003-04,Arhar/Tur,11083.0
Karnataka,MANDYA,2001-02,Arhar/Tur,647.0
Karnataka,MANDYA,2002-03,Arhar/Tur,704.0
Karnataka,MANDYA,2003-04,Arhar/Tur,649.0
Karnataka,MYSORE,2001-02,Arhar/Tur,4394.0
Karnataka,MYSORE,2002-03,Arhar/Tur,6267.0
Karnataka,MYSORE,2003-04,Arhar/Tur,3601.0
Karnataka,RAICHUR,2001-02,Arhar/Tur,13450.0
Karnataka,RAICHUR,2002-03,Arhar/Tur,12569.0
Karnataka,RAICHUR,2003-04,Arhar/Tur,17478.0
Karnataka,SHIMOGA,2001-02,Arhar/Tur,721.0
Karnataka,SHIMOGA,2002-03,Arhar/Tur,575.0
Karnataka,SHIMOGA,2003-04,Arhar/Tur,590.0
Karnataka,TUMKUR,2001-02,Arhar/Tur,9512.0
Karnataka,TUMKUR,2002-03,Arhar/Tur,10208.0
Karnataka,TUMKUR,2003-04,Arhar/Tur,9806.0
Karnataka,UTTAR KANNAD,2001-02,Arhar/Tur,141.0
Karnataka,UTTAR KANNAD,2002-03,Arhar/Tur,196.0
Karnataka,UTTAR KANNAD,2003-04,Arhar/Tur,137.0
Karnataka,BAGALKOT,2001-02,Bajra,15169.0
Karnataka,BAGALKOT,2002-03,Bajra,24007.0
Karnataka,BAGALKOT,2003-04,Bajra,15454.0
Karnataka,BELGAUM,2001-02,Bajra,11314.0
Karnataka,BELGAUM,2002-03,Bajra,20990.0
Karnataka,BELGAUM,2003-04,Bajra,5925.0
Karnataka,BELLARY,2001-02,Bajra,16332.0
Karnataka,BELLARY,2001-02,Bajra,207.0
Karnataka,BELLARY,2001-02,Bajra,850.0
Karnataka,BELLARY,2002-03,Bajra,13560.0
Karnataka,BELLARY,2002-03,Bajra,271.0
Karnataka,BELLARY,2002-03,Bajra,377.0
Karnataka,BELLARY,2003-04,Bajra,25949.0
Karnataka,BELLARY,2003-04,Bajra,117.0
Karnataka,BELLARY,2003-04,Bajra,277.0
Karnataka,BIDAR,2001-02,Bajra,8672.0
Karnataka,BIDAR,2002-03,Bajra,8364.0
Karnataka,BIDAR,2003-04,Bajra,10039.0
Karnataka,BIJAPUR,2001-02,Bajra,10298.0
Karnataka,BIJAPUR,2002-03,Bajra,55607.0
Karnataka,BIJAPUR,2003-04,Bajra,36571.0
Karnataka,CHAMARAJANAGAR,2001-02,Bajra,323.0
Karnataka,CHAMARAJANAGAR,2002-03,Bajra,572.0
Karnataka,CHAMARAJANAGAR,2003-04,Bajra,241.0
Karnataka,CHITRADURGA,2001-02,Bajra,3376.0
Karnataka,CHITRADURGA,2002-03,Bajra,3557.0
Karnataka,CHITRADURGA,2003-04,Bajra,3139.0
Karnataka,CHITRADURGA,2003-04,Bajra,7.0
Karnataka,DAVANGERE,2001-02,Bajra,517.0
Karnataka,DAVANGERE,2002-03,Bajra,405.0
Karnataka,DAVANGERE,2003-04,Bajra,905.0
Karnataka,GADAG,2001-02,Bajra,2032.0
Karnataka,GADAG,2002-03,Bajra,1395.0
Karnataka,GADAG,2003-04,Bajra,1498.0
Karnataka,GULBARGA,2001-02,Bajra,59717.0
Karnataka,GULBARGA,2002-03,Bajra,60130.0
Karnataka,GULBARGA,2003-04,Bajra,72378.0
Karnataka,HAVERI,2001-02,Bajra,344.0
Karnataka,HAVERI,2002-03,Bajra,433.0
Karnataka,HAVERI,2003-04,Bajra,43.0
Karnataka,KOLAR,2002-03,Bajra,378.0
Karnataka,KOLAR,2003-04,Bajra,31.0
Karnataka,KOPPAL,2001-02,Bajra,38041.0
Karnataka,KOPPAL,2001-02,Bajra,235.0
Karnataka,KOPPAL,2002-03,Bajra,50604.0
Karnataka,KOPPAL,2002-03,Bajra,65.0
Karnataka,KOPPAL,2003-04,Bajra,76296.0
Karnataka,KOPPAL,2003-04,Bajra,2.0
Karnataka,RAICHUR,2001-02,Bajra,41821.0
Karnataka,RAICHUR,2002-03,Bajra,63588.0
Karnataka,RAICHUR,2003-04,Bajra,69550.0
Karnataka,RAICHUR,2003-04,Bajra,14.0
Karnataka,SHIMOGA,2001-02,Bajra,4.0
Karnataka,SHIMOGA,2002-03,Bajra,34.0
Karnataka,TUMKUR,2001-02,Bajra,253.0
Karnataka,TUMKUR,2002-03,Bajra,244.0
Karnataka,TUMKUR,2003-04,Bajra,309.0
Karnataka,BAGALKOT,2002-03,Banana,466.0
Karnataka,BAGALKOT,2003-04,Banana,434.0
Karnataka,BANGALORE RURAL,2002-03,Banana,2046.0
Karnataka,BANGALORE RURAL,2003-04,Banana,1910.0
Karnataka,BELGAUM,2002-03,Banana,1198.0
Karnataka,BELGAUM,2003-04,Banana,662.0
Karnataka,BELLARY,2002-03,Banana,2087.0
Karnataka,BELLARY,2003-04,Banana,2483.0
Karnataka,BENGALURU URBAN,2002-03,Banana,345.0
Karnataka,BENGALURU URBAN,2003-04,Banana,314.0
Karnataka,BIDAR,2002-03,Banana,249.0
Karnataka,BIDAR,2003-04,Banana,189.0
Karnataka,BIJAPUR,2002-03,Banana,1512.0
Karnataka,BIJAPUR,2003-04,Banana,1868.0
Karnataka,CHAMARAJANAGAR,2002-03,Banana,1878.0
Karnataka,CHAMARAJANAGAR,2003-04,Banana,3110.0
Karnataka,CHIKMAGALUR,2002-03,Banana,2241.0
Karnataka,CHIKMAGALUR,2003-04,Banana,1320.0
Karnataka,CHITRADURGA,2002-03,Banana,3199.0
Karnataka,CHITRADURGA,2003-04,Banana,972.0
Karnataka,DAKSHIN KANNAD,2002-03,Banana,3495.0
Karnataka,DAKSHIN KANNAD,2003-04,Banana,4494.0
Karnataka,DAVANGERE,2002-03,Banana,1355.0
Karnataka,DAVANGERE,2003-04,Banana,222.0
Karnataka,DHARWAD,2002-03,Banana,113.0
Karnataka,DHARWAD,2003-04,Banana,129.0
Karnataka,GADAG,2002-03,Banana,183.0
Karnataka,GADAG,2003-04,Banana,269.0
Karnataka,GULBARGA,2002-03,Banana,2126.0
Karnataka,GULBARGA,2003-04,Banana,948.0
Karnataka,HASSAN,2002-03,Banana,2444.0
Karnataka,HASSAN,2003-04,Banana,1469.0
Karnataka,HAVERI,2002-03,Banana,1501.0
Karnataka,HAVERI,2003-04,Banana,862.0
Karnataka,KODAGU,2002-03,Banana,613.0
Karnataka,KODAGU,2003-04,Banana,164.0
Karnataka,KOLAR,2002-03,Banana,1096.0
Karnataka,KOLAR,2003-04,Banana,1366.0
Karnataka,KOPPAL,2002-03,Banana,497.0
Karnataka,KOPPAL,2003-04,Banana,363.0
Karnataka,MANDYA,2002-03,Banana,1463.0
Karnataka,MANDYA,2003-04,Banana,752.0
Karnataka,MYSORE,2002-03,Banana,1579.0
Karnataka,MYSORE,2003-04,Banana,2085.0
Karnataka,RAICHUR,2002-03,Banana,36.0
Karnataka,RAICHUR,2003-04,Banana,25.0
Karnataka,SHIMOGA,2002-03,Banana,3044.0
Karnataka,SHIMOGA,2003-04,Banana,602.0
Karnataka,TUMKUR,2002-03,Banana,2348.0
Karnataka,TUMKUR,2003-04,Banana,2039.0
Karnataka,UDUPI,2002-03,Banana,1086.0
Karnataka,UDUPI,2003-04,Banana,2350.0
Karnataka,UTTAR KANNAD,2002-03,Banana,1613.0
Karnataka,UTTAR KANNAD,2003-04,Banana,1819.0
Karnataka,BANGALORE RURAL,2001-02,Black pepper,5.0
Karnataka,BANGALORE RURAL,2002-03,Black pepper,2.0
Karnataka,BANGALORE RURAL,2003-04,Black pepper,3.0
Karnataka,CHIKMAGALUR,2001-02,Black pepper,1570.0
Karnataka,CHIKMAGALUR,2002-03,Black pepper,1664.0
Karnataka,CHIKMAGALUR,2003-04,Black pepper,1761.0
Karnataka,DAKSHIN KANNAD,2001-02,Black pepper,1930.0
Karnataka,DAKSHIN KANNAD,2002-03,Black pepper,1945.0
Karnataka,DAKSHIN KANNAD,2003-04,Black pepper,1973.0
Karnataka,DAVANGERE,2001-02,Black pepper,19.0
Karnataka,DAVANGERE,2002-03,Black pepper,1.0
Karnataka,DAVANGERE,2003-04,Black pepper,1.0
Karnataka,GULBARGA,2001-02,Black pepper,1.0
Karnataka,GULBARGA,2002-03,Black pepper,1.0
Karnataka,HASSAN,2001-02,Black pepper,802.0
Karnataka,HASSAN,2002-03,Black pepper,1293.0
Karnataka,HASSAN,2003-04,Black pepper,1432.0
Karnataka,KODAGU,2001-02,Black pepper,4112.0
Karnataka,KODAGU,2002-03,Black pepper,4167.0
Karnataka,KODAGU,2003-04,Black pepper,4210.0
Karnataka,MANDYA,2001-02,Black pepper,4.0
Karnataka,MANDYA,2002-03,Black pepper,2.0
Karnataka,MANDYA,2003-04,Black pepper,2.0
Karnataka,MYSORE,2001-02,Black pepper,20.0
Karnataka,MYSORE,2002-03,Black pepper,124.0
Karnataka,MYSORE,2003-04,Black pepper,25.0
Karnataka,SHIMOGA,2001-02,Black pepper,818.0
Karnataka,SHIMOGA,2002-03,Black pepper,814.0
Karnataka,SHIMOGA,2003-04,Black pepper,853.0
Karnataka,TUMKUR,2001-02,Black pepper,1.0
Karnataka,TUMKUR,2002-03,Black pepper,8.0
Karnataka,TUMKUR,2003-04,Black pepper,10.0
Karnataka,UDUPI,2001-02,Black pepper,258.0
Karnataka,UDUPI,2002-03,Black pepper,259.0
Karnataka,UDUPI,2003-04,Black pepper,260.0
Karnataka,UTTAR KANNAD,2001-02,Black pepper,159.0
Karnataka,UTTAR KANNAD,2002-03,Black pepper,134.0
Karnataka,UTTAR KANNAD,2003-04,Black pepper,164.0
Karnataka,CHAMARAJANAGAR,2002-03,Cardamom,13.0
Karnataka,CHAMARAJANAGAR,2003-04,Cardamom,14.0
Karnataka,CHIKMAGALUR,2002-03,Cardamom,2872.0
Karnataka,CHIKMAGALUR,2003-04,Cardamom,2917.0
Karnataka,DAKSHIN KANNAD,2002-03,Cardamom,172.0
Karnataka,DAKSHIN KANNAD,2003-04,Cardamom,173.0
Karnataka,HASSAN,2002-03,Cardamom,7443.0
Karnataka,HASSAN,2003-04,Cardamom,7489.0
Karnataka,KODAGU,2002-03,Cardamom,8170.0
Karnataka,KODAGU,2003-04,Cardamom,8165.0
Karnataka,SHIMOGA,2002-03,Cardamom,284.0
Karnataka,SHIMOGA,2003-04,Cardamom,272.0
Karnataka,UTTAR KANNAD,2002-03,Cardamom,451.0
Karnataka,UTTAR KANNAD,2003-04,Cardamom,450.0
Karnataka,BAGALKOT,2001-02,Castor seed,19.0
Karnataka,BAGALKOT,2002-03,Castor seed,10.0
Karnataka,BAGALKOT,2003-04,Castor seed,1.0
Karnataka,BANGALORE RURAL,2001-02,Castor seed,2931.0
Karnataka,BANGALORE RURAL,2002-03,Castor seed,1622.0
Karnataka,BANGALORE RURAL,2003-04,Castor seed,2049.0
Karnataka,BELGAUM,2001-02,Castor seed,347.0
Karnataka,BELGAUM,2002-03,Castor seed,295.0
Karnataka,BELGAUM,2003-04,Castor seed,121.0
Karnataka,BELLARY,2001-02,Castor seed,620.0
Karnataka,BELLARY,2002-03,Castor seed,326.0
Karnataka,BELLARY,2003-04,Castor seed,166.0
Karnataka,BENGALURU URBAN,2001-02,Castor seed,465.0
Karnataka,BENGALURU URBAN,2002-03,Castor seed,308.0
Karnataka,BENGALURU URBAN,2003-04,Castor seed,399.0
Karnataka,BIJAPUR,2002-03,Castor seed,24.0
Karnataka,BIJAPUR,2003-04,Castor seed,6.0
Karnataka,CHAMARAJANAGAR,2001-02,Castor seed,778.0
Karnataka,CHAMARAJANAGAR,2002-03,Castor seed,836.0
Karnataka,CHAMARAJANAGAR,2003-04,Castor seed,540.0
Karnataka,CHIKMAGALUR,2001-02,Castor seed,738.0
Karnataka,CHIKMAGALUR,2002-03,Castor seed,694.0
Karnataka,CHIKMAGALUR,2003-04,Castor seed,743.0
Karnataka,CHITRADURGA,2001-02,Castor seed,1838.0
Karnataka,CHITRADURGA,2002-03,Castor seed,1478.0
Karnataka,CHITRADURGA,2003-04,Castor seed,1085.0
Karnataka,DAVANGERE,2001-02,Castor seed,349.0
Karnataka,DAVANGERE,2002-03,Castor seed,237.0
Karnataka,DAVANGERE,2003-04,Castor seed,225.0
Karnataka,GADAG,2001-02,Castor seed,117.0
Karnataka,GADAG,2002-03,Castor seed,58.0
Karnataka,GADAG,2003-04,Castor seed,100.0
Karnataka,GULBARGA,2001-02,Castor seed,65.0
Karnataka,GULBARGA,2002-03,Castor seed,32.0
Karnataka,GULBARGA,2003-04,Castor seed,54.0
Karnataka,HASSAN,2001-02,Castor seed,3711.0
Karnataka,HASSAN,2002-03,Castor seed,2040.0
Karnataka,HASSAN,2003-04,Castor seed,2548.0
Karnataka,HAVERI,2001-02,Castor seed,262.0
Karnataka,HAVERI,2002-03,Castor seed,100.0
Karnataka,HAVERI,2003-04,Castor seed,43.0
Karnataka,KOLAR,2001-02,Castor seed,124.0
Karnataka,KOLAR,2002-03,Castor seed,140.0
Karnataka,KOLAR,2003-04,Castor seed,671.0
Karnataka,KOPPAL,2001-02,Castor seed,1180.0
Karnataka,KOPPAL,2002-03,Castor seed,1238.0
Karnataka,KOPPAL,2003-04,Castor seed,1430.0
Karnataka,MANDYA,2001-02,Castor seed,807.0
Karnataka,MANDYA,2002-03,Castor seed,574.0
Karnataka,MANDYA,2003-04,Castor seed,891.0
Karnataka,MYSORE,2001-02,Castor seed,2301.0
Karnataka,MYSORE,2002-03,Castor seed,3021.0
Karnataka,MYSORE,2003-04,Castor seed,1863.0
Karnataka,RAICHUR,2001-02,Castor seed,1076.0
Karnataka,RAICHUR,2002-03,Castor seed,429.0
Karnataka,RAICHUR,2003-04,Castor seed,1165.0
Karnataka,SHIMOGA,2001-02,Castor seed,108.0
Karnataka,SHIMOGA,2002-03,Castor seed,60.0
Karnataka,SHIMOGA,2003-04,Castor seed,34.0
Karnataka,TUMKUR,2001-02,Castor seed,3963.0
Karnataka,TUMKUR,2002-03,Castor seed,3469.0
Karnataka,TUMKUR,2003-04,Castor seed,3080.0
Karnataka,BAGALKOT,2001-02,Coconut,1142.0
Karnataka,BAGALKOT,2002-03,Coconut,877.0
Karnataka,BAGALKOT,2003-04,Coconut,600.0
Karnataka,BANGALORE RURAL,2001-02,Coconut,21948.0
Karnataka,BANGALORE RURAL,2002-03,Coconut,21426.0
Karnataka,BANGALORE RURAL,2003-04,Coconut,20131.0
Karnataka,BELGAUM,2001-02,Coconut,200.0
Karnataka,BELGAUM,2002-03,Coconut,216.0
Karnataka,BELGAUM,2003-04,Coconut,584.0
Karnataka,BELLARY,2001-02,Coconut,1264.0
Karnataka,BELLARY,2002-03,Coconut,1565.0
Karnataka,BELLARY,2003-04,Coconut,1312.0
Karnataka,BENGALURU URBAN,2001-02,Coconut,1959.0
Karnataka,BENGALURU URBAN,2002-03,Coconut,2008.0
Karnataka,BENGALURU URBAN,2003-04,Coconut,2565.0
Karnataka,BIDAR,2001-02,Coconut,27.0
Karnataka,BIDAR,2002-03,Coconut,23.0
Karnataka,BIDAR,2003-04,Coconut,23.0
Karnataka,BIJAPUR,2001-02,Coconut,413.0
Karnataka,BIJAPUR,2002-03,Coconut,175.0
Karnataka,BIJAPUR,2003-04,Coconut,206.0
Karnataka,CHAMARAJANAGAR,2001-02,Coconut,7369.0
Karnataka,CHAMARAJANAGAR,2002-03,Coconut,7599.0
Karnataka,CHAMARAJANAGAR,2003-04,Coconut,7613.0
Karnataka,CHIKMAGALUR,2001-02,Coconut,31070.0
Karnataka,CHIKMAGALUR,2002-03,Coconut,31114.0
Karnataka,CHIKMAGALUR,2003-04,Coconut,31177.0
Karnataka,CHITRADURGA,2001-02,Coconut,39311.0
Karnataka,CHITRADURGA,2002-03,Coconut,39618.0
Karnataka,CHITRADURGA,2003-04,Coconut,43254.0
Karnataka,DAKSHIN KANNAD,2001-02,Coconut,15437.0
Karnataka,DAKSHIN KANNAD,2002-03,Coconut,15608.0
Karnataka,DAKSHIN KANNAD,2003-04,Coconut,15652.0
Karnataka,DAVANGERE,2001-02,Coconut,13116.0
Karnataka,DAVANGERE,2002-03,Coconut,13257.0
Karnataka,DAVANGERE,2003-04,Coconut,13051.0
Karnataka,DHARWAD,2001-02,Coconut,415.0
Karnataka,DHARWAD,2002-03,Coconut,418.0
Karnataka,DHARWAD,2003-04,Coconut,437.0
Karnataka,GADAG,2001-02,Coconut,391.0
Karnataka,GADAG,2002-03,Coconut,419.0
Karnataka,GADAG,2003-04,Coconut,522.0
Karnataka,GULBARGA,2001-02,Coconut,866.0
Karnataka,GULBARGA,2002-03,Coconut,872.0
Karnataka,GULBARGA,2003-04,Coconut,757.0
Karnataka,HASSAN,2001-02,Coconut,55056.0
Karnataka,HASSAN,2002-03,Coconut,57885.0
Karnataka,HASSAN,2003-04,Coconut,60075.0
Karnataka,HAVERI,2001-02,Coconut,1297.0
Karnataka,HAVERI,2002-03,Coconut,1852.0
Karnataka,HAVERI,2003-04,Coconut,1229.0
Karnataka,KODAGU,2001-02,Coconut,1338.0
Karnataka,KODAGU,2002-03,Coconut,1285.0
Karnataka,KODAGU,2003-04,Coconut,1292.0
Karnataka,KOLAR,2001-02,Coconut,2101.0
Karnataka,KOLAR,2002-03,Coconut,2101.0
Karnataka,KOLAR,2003-04,Coconut,2101.0
Karnataka,KOPPAL,2001-02,Coconut,1098.0
Karnataka,KOPPAL,2002-03,Coconut,492.0
Karnataka,KOPPAL,2003-04,Coconut,204.0
Karnataka,MANDYA,2001-02,Coconut,17047.0
Karnataka,MANDYA,2002-03,Coconut,17882.0
Karnataka,MANDYA,2003-04,Coconut,17985.0
Karnataka,MYSORE,2001-02,Coconut,18765.0
Karnataka,MYSORE,2002-03,Coconut,19801.0
Karnataka,MYSORE,2003-04,Coconut,18005.0
Karnataka,RAICHUR,2001-02,Coconut,208.0
Karnataka,RAICHUR,2002-03,Coconut,523.0
Karnataka,RAICHUR,2003-04,Coconut,496.0
Karnataka,SHIMOGA,2001-02,Coconut,6925.0
Karnataka,SHIMOGA,2002-03,Coconut,6820.0
Karnataka,SHIMOGA,2003-04,Coconut,6700.0
Karnataka,TUMKUR,2001-02,Coconut,110993.0
Karnataka,TUMKUR,2002-03,Coconut,111248.0
Karnataka,TUMKUR,2003-04,Coconut,109443.0
Karnataka,UDUPI,2001-02,Coconut,14003.0
Karnataka,UDUPI,2002-03,Coconut,14179.0
Karnataka,UDUPI,2003-04,Coconut,14319.0
Karnataka,UTTAR KANNAD,2001-02,Coconut,6069.0
Karnataka,UTTAR KANNAD,2002-03,Coconut,6162.0
Karnataka,UTTAR KANNAD,2003-04,Coconut,6224.0
Karnataka,BAGALKOT,2001-02,Coriander,30.0
Karnataka,BAGALKOT,2002-03,Coriander,30.0
Karnataka,BAGALKOT,2003-04,Coriander,26.0
Karnataka,BANGALORE RURAL,2001-02,Coriander,7.0
Karnataka,BELGAUM,2001-02,Coriander,184.0
Karnataka,BELGAUM,2002-03,Coriander,274.0
Karnataka,BELGAUM,2003-04,Coriander,278.0
Karnataka,BELLARY,2001-02,Coriander,6420.0
Karnataka,BELLARY,2002-03,Coriander,2908.0
Karnataka,BELLARY,2003-04,Coriander,3503.0
Karnataka,BENGALURU URBAN,2001-02,Coriander,29.0
Karnataka,BENGALURU URBAN,2002-03,Coriander,24.0
Karnataka,BENGALURU URBAN,2003-04,Coriander,33.0
Karnataka,BIDAR,2001-02,Coriander,788.0
Karnataka,BIDAR,2002-03,Coriander,729.0
Karnataka,BIDAR,2003-04,Coriander,687.0
Karnataka,BIJAPUR,2001-02,Coriander,130.0
Karnataka,BIJAPUR,2002-03,Coriander,325.0
Karnataka,BIJAPUR,2003-04,Coriander,26.0
Karnataka,CHAMARAJANAGAR,2001-02,Coriander,18.0
Karnataka,CHAMARAJANAGAR,2002-03,Coriander,26.0
Karnataka,CHAMARAJANAGAR,2003-04,Coriander,137.0
Karnataka,CHIKMAGALUR,2001-02,Coriander,1594.0
Karnataka,CHIKMAGALUR,2002-03,Coriander,1305.0
Karnataka,CHIKMAGALUR,2003-04,Coriander,1338.0
Karnataka,CHITRADURGA,2001-02,Coriander,127.0
Karnataka,CHITRADURGA,2002-03,Coriander,267.0
Karnataka,CHITRADURGA,2003-04,Coriander,245.0
Karnataka,DAVANGERE,2001-02,Coriander,53.0
Karnataka,DAVANGERE,2002-03,Coriander,41.0
Karnataka,DAVANGERE,2003-04,Coriander,26.0
Karnataka,DHARWAD,2001-02,Coriander,374.0
Karnataka,DHARWAD,2002-03,Coriander,498.0
Karnataka,DHARWAD,2003-04,Coriander,329.0
Karnataka,GADAG,2001-02,Coriander,147.0
Karnataka,GADAG,2002-03,Coriander,148.0
Karnataka,GADAG,2003-04,Coriander,227.0
Karnataka,GULBARGA,2001-02,Coriander,63.0
Karnataka,GULBARGA,2002-03,Coriander,63.0
Karnataka,GULBARGA,2003-04,Coriander,73.0
Karnataka,HASSAN,2001-02,Coriander,282.0
Karnataka,HASSAN,2002-03,Coriander,473.0
Karnataka,HASSAN,2003-04,Coriander,54.0
Karnataka,HAVERI,2001-02,Coriander,322.0
Karnataka,HAVERI,2002-03,Coriander,222.0
Karnataka,HAVERI,2003-04,Coriander,237.0
Karnataka,KOLAR,2001-02,Coriander,56.0
Karnataka,KOLAR,2002-03,Coriander,57.0
Karnataka,KOLAR,2003-04,Coriander,88.0
Karnataka,KOPPAL,2001-02,Coriander,170.0
Karnataka,KOPPAL,2002-03,Coriander,150.0
Karnataka,KOPPAL,2003-04,Coriander,388.0
Karnataka,MANDYA,2001-02,Coriander,1.0
Karnataka,MYSORE,2001-02,Coriander,217.0
Karnataka,MYSORE,2002-03,Coriander,34.0
Karnataka,MYSORE,2003-04,Coriander,75.0
Karnataka,RAICHUR,2001-02,Coriander,275.0
Karnataka,RAICHUR,2002-03,Coriander,103.0
Karnataka,RAICHUR,2003-04,Coriander,18.0
